1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-7.8415,1.4904,1.4904,1.4904,1.4904,1.4904,1.4904,2.6823,2.6823,2.6823,2.6823,2.6823,2.6823,0.0,0.0
2.2134,2.2134,2.2134,2.2134,0.5623,0.5623,0.5623,0.5623,0.5623,0.5623,0.0,0.0,0.0,0.0,0.0
4.2204,4.2204,0.4123,0.4123,0.4123,0.4123,0.4123,0.4123,0.3323,0.3323,0.3323,0.3323,0.3323,0.3323,0.0
7.5245,7.5245,7.5245,7.5245,7.5245,7.5245,5.5391,5.5391,5.5391,5.5391,5.5391,5.5391,0.0,0.0,0.0
11.6996,11.6996,11.6996,11.6996,6.451,6.451,6.451,6.451,6.451,6.451,4.8026,4.8026,4.8026,4.8026,4.8026
10.597,10.597,13.0943,13.0943,13.0943,13.0943,13.0943,13.0943,10.7705,10.7705,10.7705,10.7705,10.7705,10.7705,0.0
-17.0013,-17.0013,-17.0013,-17.0013,-17.0013,-6.054,-6.054,-6.054,-6.054,-6.054,-6.054,0.0,0.0,0.0,0.0
-2.4393,-2.4393,-2.4393,-3.3232,-3.3232,-3.3232,-3.3232,-3.3232,-3.3232,-2.5381,-2.5381,-2.5381,-2.5381,-2.5381,-2.5381
-0.155,-1.5288,-1.5288,-1.5288,-1.5288,-1.5288,-1.5288,-0.0426,-0.0426,-0.0426,-0.0426,-0.0426,-0.0426,0.0,0.0
1.6739,1.6739,1.6739,1.6739,1.6739,4.4803,4.4803,4.4803,4.4803,4.4803,4.4803,0.0,0.0,0.0,0.0
-5.8906,-5.8906,-4.979,-4.979,-4.979,-4.979,-4.979,-4.979,-2.0093,-2.0093,-2.0093,-2.0093,-2.0093,-2.0093,0.0
-2.4234,-2.4234,-2.4234,-2.4234,-2.4234,-2.4234,-1.0996,-1.0996,-1.0996,-1.0996,-1.0996,-1.0996,0.0,0.0,0.0
-9.5907,-9.5907,-9.5907,-9.5907,-4.8975,-4.8975,-4.8975,-4.8975,-4.8975,-4.8975,0.0,0.0,0.0,0.0,0.0
19.2779,19.2779,7.3645,7.3645,7.3645,7.3645,7.3645,7.3645,8.0671,8.0671,8.0671,8.0671,8.0671,8.0671,0.0
-11.6819,-11.6819,-11.6819,-11.6819,-11.6819,-11.6819,-5.5973,-5.5973,-5.5973,-5.5973,-5.5973,0.0,0.0,0.0,0.0
5.5055,5.5055,5.5055,5.3709,5.3709,5.3709,5.3709,5.3709,5.3709,1.0119,1.0119,1.0119,1.0119,1.0119,1.0119
-0.1789,-5.6234,-5.6234,-5.6234,-5.6234,-5.6234,-5.6234,-5.2346,-5.2346,-5.2346,-5.2346,-5.2346,-5.2346,0.0,0.0
0.6536,0.6536,0.6536,0.6536,0.6536,-2.1234,-2.1234,-2.1234,-2.1234,-2.1234,-2.1234,0.0,0.0,0.0,0.0
-3.8437,-3.8437,-3.8437,-3.736,-3.736,-3.736,-3.736,-3.736,3.0019,3.0019,3.0019,3.0019,3.0019,3.0019,0.0
-5.4528,-5.4528,-5.4528,-5.4528,-5.4528,-5.4528,-4.2627,-4.2627,-4.2627,-4.2627,-4.2627,-4.2627,0.0,0.0,0.0
-2.5069,-2.5069,-2.5069,-2.5069,-3.2237,-3.2237,-3.2237,-3.2237,-3.2237,-3.2237,0.0,0.0,0.0,0.0,0.0
-0.8632,-0.8632,-2.7251,-2.7251,-2.7251,-2.7251,-2.7251,-2.7251,2.8219,2.8219,2.8219,2.8219,2.8219,2.8219,0.0
1.4193,1.4193,1.4193,1.4193,1.4193,1.4193,0.8282,0.8282,0.8282,0.8282,0.8282,0.8282,0.0,0.0,0.0
-0.1754,-0.1754,-0.1754,1.3274,1.3274,1.3274,1.3274,1.3274,1.3274,3.5907,3.5907,3.5907,3.5907,3.5907,3.5907
-2.6138,-2.7197,-2.7197,-2.7197,-2.7197,-2.7197,-2.7197,2.8574,2.8574,2.8574,2.8574,2.8574,2.8574,0.0,0.0
-6.3301,-6.3301,-6.3301,-6.3301,-6.3301,1.6763,1.6763,1.6763,1.6763,1.6763,1.6763,0.0,0.0,0.0,0.0
4.7334,4.7334,4.7334,1.9538,1.9538,1.9538,1.9538,1.9538,1.9538,2.1027,2.1027,2.1027,2.1027,2.1027,0.0
-3.6127,-3.6127,-3.6127,-3.6127,-3.6127,-3.6127,-0.9102,-0.9102,-0.9102,-0.9102,-0.9102,-0.9102,0.0,0.0,0.0
14.8188,14.8188,14.8188,14.8188,9.9194,9.9194,9.9194,9.9194,9.9194,9.9194,0.0,0.0,0.0,0.0,0.0
8.0182,8.0182,7.7878,7.7878,7.7878,7.7878,7.7878,7.7878,2.6066,2.6066,2.6066,2.6066,2.6066,2.6066,0.0
4.1109,4.1109,4.1109,4.1109,4.1109,0.15,0.15,0.15,0.15,0.15,0.15,0.0,0.0,0.0,0.0
-1.5328,-1.5328,-1.5328,-5.2121,-5.2121,-5.2121,-5.2121,-5.2121,-5.2121,-1.373,-1.373,-1.373,-1.373,-1.373,-1.373
6.1275,-4.2699,-4.2699,-4.2699,-4.2699,-4.2699,-4.2699,-0.0492,-0.0492,-0.0492,-0.0492,-0.0492,-0.0492,0.0,0.0
-4.1099,-4.1099,-4.1099,-4.1099,-4.1099,-1.5412,-1.5412,-1.5412,-1.5412,-1.5412,-1.5412,0.0,0.0,0.0,0.0
-0.7427,-0.7427,-0.7652,-0.7652,-0.7652,-0.7652,-0.7652,-0.7652,1.7668,1.7668,1.7668,1.7668,1.7668,1.7668,0.0
-1.9676,-1.9676,-1.9676,-1.9676,-1.9676,-1.3752,-1.3752,-1.3752,-1.3752,-1.3752,-1.3752,0.0,0.0,0.0,0.0
6.1118,6.1118,6.1118,10.6713,10.6713,10.6713,10.6713,10.6713,10.6713,2.2599,2.2599,2.2599,2.2599,2.2599,2.2599
11.2891,11.2891,11.2891,11.2891,11.2891,11.2891,4.9384,4.9384,4.9384,4.9384,4.9384,4.9384,0.0,0.0,0.0
-4.2146,-4.2146,-4.2146,7.0471,7.0471,7.0471,7.0471,7.0471,7.0471,2.3389,2.3389,2.3389,2.3389,2.3389,2.3389
-2.4327,0.5188,0.5188,0.5188,0.5188,-1.8108,-1.8108,-1.8108,-1.8108,-1.8108,-1.8108,0.0,0.0,0.0,0.0
-1.6743,-1.6743,-1.6743,2.1115,2.1115,2.1115,2.1115,2.1115,2.1115,1.2136,1.2136,1.2136,1.2136,1.2136,1.2136
-10.4229,-2.8067,-2.8067,-2.8067,-2.8067,-2.8067,-2.8067,-1.4487,-1.4487,-1.4487,-1.4487,-1.4487,0.0,0.0,0.0
-1.3422,-1.3422,-1.3422,-1.3422,-1.8602,-1.8602,-1.8602,-1.8602,-1.8602,-1.8602,0.0,0.0,0.0,0.0,0.0
-0.4914,-0.4914,-0.7535,-0.7535,-0.7535,-0.7535,-0.7535,-0.7535,-0.3924,-0.3924,-0.3924,-0.3924,-0.3924,-0.3924,0.0
-0.9119,-0.9119,-0.9119,-0.9119,-0.9119,-0.9119,5.2954,5.2954,5.2954,5.2954,5.2954,5.2954,0.0,0.0,0.0
-8.149,-8.149,-8.149,-8.149,0.5262,0.5262,0.5262,0.5262,0.5262,0.5262,0.0,0.0,0.0,0.0,0.0
-0.2385,-0.2385,-0.4455,-0.4455,-0.4455,-0.4455,-0.4455,-2.0441,-2.0441,-2.0441,-2.0441,-2.0441,-2.0441,0.0,0.0
0.5603,0.5603,0.5603,0.5603,0.5603,-0.4445,-0.4445,-0.4445,-0.4445,-0.4445,-0.4445,0.0,0.0,0.0,0.0
11.0777,11.0777,11.0777,6.9382,6.9382,6.9382,6.9382,6.9382,6.9382,12.737,12.737,12.737,12.737,12.737,12.737
6.4863,5.45,5.45,5.45,5.45,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7786,4.7786,4.7786,4.7786,0.5368,0.5368,0.5368,0.5368,0.5368,0.5368,0.0,0.0,0.0,0.0,0.0
-0.7266,-0.7266,1.0096,1.0096,1.0096,1.0096,1.0096,1.0096,-0.5957,-0.5957,-0.5957,-0.5957,-0.5957,-0.5957,0.0
2.1,2.1,2.1,2.1,2.1,-0.6533,-0.6533,-0.6533,-0.6533,-0.6533,-0.6533,0.0,0.0,0.0,0.0
-2.4087,-2.4087,-2.4087,-5.6055,-5.6055,-5.6055,-5.6055,-5.6055,-5.6055,-1.0887,-1.0887,-1.0887,-1.0887,-1.0887,-1.0887
4.5781,-2.6598,-2.6598,-2.6598,-2.6598,-2.6598,-2.6598,-2.6148,-2.6148,-2.6148,-2.6148,0.0,0.0,0.0,0.0
-4.0617,-4.0617,-4.0617,-4.0617,-4.0617,-6.3611,-6.3611,-6.3611,-6.3611,-6.3611,-6.3611,0.0,0.0,0.0,0.0
3.9986,3.9986,-0.7807,-0.7807,-0.7807,-0.7807,-0.7807,-0.7807,-1.9029,-1.9029,-1.9029,-1.9029,-1.9029,-1.9029,0.0
-7.0688,-7.0688,-7.0688,-7.0688,-7.0688,-7.0688,-6.561,-6.561,-6.561,-6.561,-6.561,-6.561,0.0,0.0,0.0
1.8769,1.8769,1.8769,1.8769,5.0618,5.0618,5.0618,5.0618,5.0618,5.0618,0.0,0.0,0.0,0.0,0.0
11.1241,11.1241,9.8919,9.8919,9.8919,9.8919,9.8919,9.8919,8.9265,8.9265,8.9265,8.9265,8.9265,8.9265,0.0
0.7894,0.7894,0.7894,0.7894,0.7894,-0.5523,-0.5523,-0.5523,-0.5523,-0.5523,-0.5523,0.0,0.0,0.0,0.0
1.1216,1.1216,1.1216,-5.8576,-5.8576,-5.8576,-5.8576,-5.8576,-5.8576,0.3823,0.3823,0.3823,0.3823,0.3823,0.3823
8.7155,5.6327,5.6327,5.6327,5.6327,5.6327,5.6327,-0.9728,-0.9728,-0.9728,-0.9728,-0.9728,0.0,0.0,0.0
5.4078,5.4078,5.4078,5.4078,0.0033,0.0033,0.0033,0.0033,0.0033,0.0033,-3.252,-3.252,-3.252,-3.252,-3.252
0.1062,-3.7252,-3.7252,-3.7252,-3.7252,-3.7252,-3.7252,-2.9309,-2.9309,-2.9309,-2.9309,-2.9309,-2.9309,0.0,0.0
-10.3581,-10.3581,-10.3581,-10.3581,-10.3581,-3.379,-3.379,-3.379,-3.379,-3.379,-3.379,0.0,0.0,0.0,0.0
9.7009,9.7009,9.7009,0.8188,0.8188,0.8188,0.8188,0.8188,0.8188,-0.4028,-0.4028,-0.4028,-0.4028,-0.4028,-0.4028
-2.7645,-2.7645,-2.7645,-2.7645,-2.7645,-2.7645,-1.8365,-1.8365,-1.8365,-1.8365,-1.8365,-1.8365,0.0,0.0,0.0
-6.2712,-6.2712,-6.2712,-6.2712,-3.271,-3.271,-3.271,-3.271,-3.271,-3.271,0.0,0.0,0.0,0.0,0.0
6.4222,6.4222,5.5132,5.5132,5.5132,5.5132,5.5132,5.5132,3.9521,3.9521,3.9521,3.9521,3.9521,3.9521,0.0
-4.432,-4.432,-4.432,-4.432,-4.432,-4.432,-4.7722,-4.7722,-4.7722,-4.7722,-4.7722,0.0,0.0,0.0,0.0
-5.9833,-5.9833,-5.9833,-5.6006,-5.6006,-5.6006,-5.6006,-5.6006,-5.6006,-0.2519,-0.2519,-0.2519,-0.2519,-0.2519,-0.2519
8.4003,8.3068,8.3068,8.3068,8.3068,8.3068,8.3068,4.8677,4.8677,4.8677,4.8677,4.8677,4.8677,0.0,0.0
21.3403,21.3403,21.3403,21.3403,10.8509,10.8509,10.8509,10.8509,10.8509,10.8509,0.0,0.0,0.0,0.0,0.0
-5.3197,-5.3197,-3.6243,-3.6243,-3.6243,-3.6243,-3.6243,-3.6243,-5.6675,-5.6675,-5.6675,-5.6675,-5.6675,-5.6675,0.0
1.2853,1.2853,1.2853,1.2853,1.2853,1.2853,-4.7511,-4.7511,-4.7511,-4.7511,-4.7511,-4.7511,0.0,0.0,0.0
-1.2166,-1.2166,-1.2166,-1.2166,-6.5362,-6.5362,-6.5362,-6.5362,-6.5362,-6.5362,-3.6245,-3.6245,-3.6245,-3.6245,-3.6245
-5.5741,-1.309,-1.309,-1.309,-1.309,-1.309,-1.309,4.7792,4.7792,4.7792,4.7792,4.7792,4.7792,0.0,0.0
-0.6798,-0.6798,-0.6798,-0.6798,-0.6798,4.8506,4.8506,4.8506,4.8506,4.8506,4.8506,0.0,0.0,0.0,0.0
-1.5268,-1.5268,-1.5268,-2.2042,-2.2042,-2.2042,-2.2042,-2.2042,-2.2042,5.3357,5.3357,5.3357,5.3357,5.3357,5.3357
-9.3563,-9.3563,-9.3563,-9.3563,-9.3563,-9.3563,-3.2574,-3.2574,-3.2574,-3.2574,-3.2574,-3.2574,0.0,0.0,0.0
6.7686,6.7686,6.7686,6.7686,4.8433,4.8433,4.8433,4.8433,4.8433,4.8433,0.0,0.0,0.0,0.0,0.0
-10.2979,-10.2979,-4.043,-4.043,-4.043,-4.043,-4.043,-4.043,-1.3891,-1.3891,-1.3891,-1.3891,-1.3891,-1.3891,0.0
-1.405,-1.405,-1.405,-1.405,-1.405,-1.405,0.963,0.963,0.963,0.963,0.963,0.963,0.0,0.0,0.0
-0.0894,-0.0894,-0.0894,-0.6281,-0.6281,-0.6281,-0.6281,-0.6281,-0.6281,6.5963,6.5963,6.5963,6.5963,6.5963,6.5963
3.5774,5.6407,5.6407,5.6407,5.6407,5.6407,5.6407,-0.1627,-0.1627,-0.1627,-0.1627,-0.1627,-0.1627,0.0,0.0
-14.2125,-14.2125,-14.2125,-14.2125,-14.2125,-18.2131,-18.2131,-18.2131,-18.2131,-18.2131,-18.2131,0.0,0.0,0.0,0.0
-1.796,-1.796,-1.796,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,-0.1503,0.1173,0.1173,0.1173,0.1173,0.1173,0.1173
2.0597,2.0597,2.0597,2.0597,2.0597,2.0597,1.7037,1.7037,1.7037,1.7037,1.7037,1.7037,0.0,0.0,0.0
0.2891,0.2891,0.2891,0.2891,-0.709,-0.709,-0.709,-0.709,-0.709,-0.709,0.0,0.0,0.0,0.0,0.0
2.7788,2.7788,2.9972,2.9972,2.9972,2.9972,2.9972,1.0445,1.0445,1.0445,1.0445,1.0445,1.0445,0.0,0.0
5.8079,5.8079,5.8079,5.8079,2.4654,2.4654,2.4654,2.4654,2.4654,2.4654,2.4654,0.0,0.0,0.0,0.0
-6.7856,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-0.2651,-3.9002,-3.9002,-3.9002,-3.9002,-3.9002,-3.9002
-7.4144,-7.4144,-7.4144,-7.4144,-7.4144,-4.8676,-4.8676,-4.8676,-4.8676,-4.8676,-4.8676,0.0,0.0,0.0,0.0
-5.9362,-5.9362,-5.9362,-3.1791,-3.1791,-3.1791,-3.1791,-3.1791,-3.1791,0.2259,0.2259,0.2259,0.2259,0.2259,0.2259
-17.3323,-17.3323,-7.2992,-7.2992,-7.2992,-7.2992,-4.2456,-4.2456,-4.2456,-4.2456,-4.2456,-4.2456,0.0,0.0,0.0
-11.3458,-11.3458,-11.3458,-11.3458,-2.6144,-2.6144,-2.6144,-2.6144,-2.6144,-2.6144,0.0,0.0,0.0,0.0,0.0
-6.4508,-6.4508,-6.4508,-6.6996,-6.6996,-6.6996,-6.6996,-6.6996,-1.3176,-1.3176,-1.3176,-1.3176,-1.3176,-1.3176,-1.3176
4.2023,7.1187,7.1187,7.1187,7.1187,7.1187,1.5485,1.5485,1.5485,1.5485,1.5485,1.5485,0.0,0.0,0.0
2.5053,2.5053,2.5053,7.128,7.128,7.128,7.128,7.128,7.128,0.4312,0.4312,0.4312,0.4312,0.4312,0.4312
