1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
10755.0369,10764.3688,10764.3688,10764.3688,10764.3688,10764.3688,10764.3688,10765.5607,10765.5607,10765.5607,10765.5607,10765.5607,10765.5607,10762.8784,10762.8784,10762.8784,10762.8784,10762.8784,10765.1239,10765.1239
10765.1239,10765.1239,10765.1239,10765.1239,10763.4728,10763.4728,10763.4728,10763.4728,10763.4728,10763.4728,10762.9105,10762.9105,10762.9105,10762.9105,10762.9105,10762.9105,10763.6468,10763.6468,10763.6468,10763.6468
10763.6468,10763.6468,10759.8387,10759.8387,10759.8387,10759.8387,10759.8387,10759.8387,10759.7587,10759.7587,10759.7587,10759.7587,10759.7587,10759.7587,10759.4264,10759.4264,10759.4264,10759.4264,10759.4264,10759.4264
10756.3492,10756.3492,10756.3492,10756.3492,10756.3492,10756.3492,10754.3638,10754.3638,10754.3638,10754.3638,10754.3638,10754.3638,10748.8247,10748.8247,10748.8247,10748.8247,10748.8247,10748.8247,10745.8448,10745.8448
10745.8448,10745.8448,10745.8448,10745.8448,10740.5962,10740.5962,10740.5962,10740.5962,10740.5962,10740.5962,10738.9478,10738.9478,10738.9478,10738.9478,10738.9478,10734.1452,10734.1452,10734.1452,10734.1452,10734.1452
10734.1452,10734.1452,10736.6425,10736.6425,10736.6425,10736.6425,10736.6425,10736.6425,10734.3187,10734.3187,10734.3187,10734.3187,10734.3187,10734.3187,10723.5482,10723.5482,10723.5482,10723.5482,10723.5482,10721.7216
10721.7216,10721.7216,10721.7216,10721.7216,10721.7216,10732.6689,10732.6689,10732.6689,10732.6689,10732.6689,10732.6689,10738.7229,10738.7229,10738.7229,10738.7229,10738.7229,10738.7229,10740.4174,10740.4174,10740.4174
10740.4174,10740.4174,10740.4174,10739.5335,10739.5335,10739.5335,10739.5335,10739.5335,10739.5335,10740.3186,10740.3186,10740.3186,10740.3186,10740.3186,10740.3186,10742.8567,10742.8567,10742.8567,10742.8567,10742.8567
10742.8567,10741.4829,10741.4829,10741.4829,10741.4829,10741.4829,10741.4829,10742.9691,10742.9691,10742.9691,10742.9691,10742.9691,10742.9691,10743.0117,10743.0117,10743.0117,10743.0117,10743.0117,10743.0117,10747.2650
10747.2650,10747.2650,10747.2650,10747.2650,10747.2650,10750.0714,10750.0714,10750.0714,10750.0714,10750.0714,10750.0714,10745.5911,10745.5911,10745.5911,10745.5911,10745.5911,10744.4040,10744.4040,10744.4040,10744.4040
