1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
-1.0161,-1.0161,-1.0161,-1.0161,-1.0161,-0.8373,-0.8373,-0.8373,-0.8373,-0.8373,-0.8373,0.0,0.0,0.0,0.0
-0.572,-0.572,-0.572,0.6415,0.6415,0.6415,0.6415,0.6415,0.6415,0.2076,0.2076,0.2076,0.2076,0.0,0.0
9.9338,6.9275,6.9275,6.9275,6.9275,6.9275,6.9275,-1.0884,-1.0884,-1.0884,-1.0884,-1.0884,0.0,0.0,0.0
2.2187,2.2187,2.2187,2.2187,2.3528,2.3528,2.3528,2.3528,2.3528,2.3528,0.0,0.0,0.0,0.0,0.0
0.2656,0.2656,-0.8626,-0.8626,-0.8626,-0.8626,-0.8626,-0.8626,0.0908,0.0908,0.0908,0.0908,0.0908,0.0908,0.0
2.0605,2.0605,2.0605,2.0605,2.0605,2.0605,0.9266,0.9266,0.9266,0.9266,0.9266,0.9266,0.0,0.0,0.0
9.4671,9.4671,9.4671,9.4671,6.4541,6.4541,6.4541,6.4541,6.4541,6.4541,-3.4032,-3.4032,-3.4032,-3.4032,-3.4032
-5.6404,-4.1353,-4.1353,-4.1353,-4.1353,-4.1353,-4.1353,-1.5052,-1.5052,-1.5052,-1.5052,-1.5052,-1.5052,0.0,0.0
4.397,4.397,4.397,4.397,-0.1863,-0.1863,-0.1863,-0.1863,-0.1863,-0.1863,-0.1863,0.0,0.0,0.0,0.0
1.8735,1.8735,1.8735,3.329,3.329,3.329,3.329,3.329,3.329,2.3049,2.3049,2.3049,2.3049,0.0,0.0
-1.7754,-1.7754,-1.7754,-1.7754,-1.7754,-1.7754,-1.7754,-3.336,-3.336,-3.336,-3.336,-3.336,-3.336,0.0,0.0
-7.7341,-7.7341,-7.7341,-0.9623,-0.9623,-0.9623,-0.9623,-0.9623,-0.9623,-1.7046,-1.7046,-1.7046,-1.7046,-1.7046,-1.7046
-1.8466,-1.8668,-1.8668,-1.8668,-1.8668,-1.8668,-1.8668,-1.2207,-1.2207,-1.2207,-1.2207,-1.2207,-1.2207,0.0,0.0
-3.2517,-3.2517,-3.2517,-3.2517,-3.2517,0.9185,0.9185,0.9185,0.9185,0.9185,0.9185,0.0,0.0,0.0,0.0
6.1794,6.1794,6.1794,1.8235,1.8235,1.8235,1.8235,1.8235,1.8235,0.6647,0.6647,0.6647,0.6647,0.6647,0.6647
4.4511,3.6322,3.6322,3.6322,3.6322,3.6322,3.6322,2.3919,2.3919,2.3919,2.3919,2.3919,2.3919,0.0,0.0
0.3689,0.3689,0.3689,0.3689,0.3689,-0.2847,-0.2847,-0.2847,-0.2847,-0.2847,-0.2847,0.0,0.0,0.0,0.0
-0.5679,-0.5679,-1.4448,-1.4448,-1.4448,-1.4448,-1.4448,-1.4448,1.0781,1.0781,1.0781,1.0781,1.0781,1.0781,0.0
-8.4503,-8.4503,-8.4503,-8.4503,-8.4503,-8.4503,-5.9789,-5.9789,-5.9789,-5.9789,-5.9789,-5.9789,0.0,0.0,0.0
-1.6763,-1.6763,-1.6763,-1.6763,-0.8355,-0.8355,-0.8355,-0.8355,-0.8355,-0.8355,0.0,0.0,0.0,0.0,0.0
4.4907,4.4907,3.4021,3.4021,3.4021,3.4021,3.4021,3.4021,2.9069,2.9069,2.9069,2.9069,2.9069,2.9069,0.0
